# 微头条发布台账（查重唯一依据 · 每次发布成功/失败都追加）
# 格式: YYYY-MM-DD HH:MM | 主题关键词 | 发布状态 | 首句摘要
# 查重规则: 同主题/同事件/同角度 = 重复，不选；仅事件有实质新进展才算增量

2026-08-23 14:05 | 甲醛白菜（河北康保） | 已发布 | 白菜蘸甲醛保鲜 暗访
2026-08-24 08:18 | 温婉卖假MiuMiu（山寨包） | 已发布 | 温婉 假冒大牌 电商售假
2026-08-24 10:05 | 榴莲价格大跳水 | 已发布 | 榴莲降价 行情
2026-08-24 12:06 | 衡阳老板扶老人反被索赔 | 已发布 | 好心扶人 倒赔一万九
2026-08-24 14:09 | 高铁无座票与二等座同价 | 已发布 | 无座票同价 12306
2026-08-24 16:22 | 敌敌畏消杀连锁餐厅（厦门绿林森） | 已发布 | 打死也不会去吃的 消杀员工
2026-08-24 18:05 | 敌敌畏消杀涉绿茶餐厅（同源 16:22，角度不同） | 已发布 | 给几十家连锁餐厅喷敌敌畏
2026-08-24 20:06 | 甲醛白菜（河北康保）官方下场处置 | 已发布 | 白菜蘸甲醛 官方通报排查

# 撞车教训（2026-08-24）:
# 1. 18:06 敌敌畏 vs 16:22 敌敌畏 —— 同主题两条，写稿时没查发布历史
# 2. 20:08 甲醛白菜 vs 8/23 甲醛白菜 —— 只查 examples 没查台账/发布历史
# → 每次筛选题和发布前，都必须读本文件 + 作品管理页核对2026-08-28 18:06 | 卖房炒股遇老同事诈骗（上海樊某诈骗季某689万） | 已发布（审核中） | 上海有个季先生，把两套房卖了，凑了689万，全交给一个前同事去炒股
